timestamp,n_bikes,month,day,hour,minute,day_of_week,is_holiday,n_bikes_1hr,n_bikes_2hr
2022-08-02 13:04:00,2,8,2,13,4,1,0,0,0
2022-08-02 13:10:00,4,8,2,13,10,1,0,0,0
2022-08-02 13:14:00,5,8,2,13,14,1,0,0,0
2022-08-02 13:20:00,1,8,2,13,20,1,0,0,0
2022-08-02 13:25:00,1,8,2,13,25,1,0,0,0
2022-08-02 13:30:00,1,8,2,13,30,1,0,0,0
2022-08-02 13:35:00,2,8,2,13,35,1,0,0,0
2022-08-02 13:40:00,3,8,2,13,40,1,0,0,0
2022-08-02 13:44:00,4,8,2,13,44,1,0,0,0
2022-08-02 13:50:00,6,8,2,13,50,1,0,0,0
2022-08-02 13:55:00,6,8,2,13,55,1,0,0,0
2022-08-02 14:00:00,6,8,2,14,0,1,0,7,0
2022-08-02 14:05:00,6,8,2,14,5,1,0,7,0
2022-08-02 14:10:00,6,8,2,14,10,1,0,6,0
2022-08-02 14:15:00,6,8,2,14,15,1,0,7,0
2022-08-02 14:20:00,6,8,2,14,20,1,0,7,0
2022-08-02 14:25:00,6,8,2,14,25,1,0,8,0
2022-08-02 14:30:00,8,8,2,14,30,1,0,7,0
2022-08-02 14:35:00,9,8,2,14,35,1,0,7,0
2022-08-02 14:40:00,9,8,2,14,40,1,0,7,0
2022-08-02 14:45:00,8,8,2,14,45,1,0,7,0
2022-08-02 14:50:00,8,8,2,14,50,1,0,7,0
2022-08-02 14:55:00,8,8,2,14,55,1,0,0,0
2022-08-02 15:00:00,8,8,2,15,0,1,0,6,7
2022-08-02 15:05:00,6,8,2,15,5,1,0,6,7
2022-08-02 15:10:00,8,8,2,15,10,1,0,6,6
2022-08-02 15:15:00,8,8,2,15,15,1,0,6,7
2022-08-02 15:25:00,11,8,2,15,25,1,0,5,8
2022-08-02 15:30:00,11,8,2,15,30,1,0,5,7
2022-08-02 15:35:00,11,8,2,15,35,1,0,7,7
2022-08-02 15:40:00,12,8,2,15,40,1,0,9,7
2022-08-02 15:45:00,11,8,2,15,45,1,0,10,7
2022-08-02 15:50:00,11,8,2,15,50,1,0,10,7
2022-08-02 15:55:00,10,8,2,15,55,1,0,0,0
2022-08-02 16:00:00,10,8,2,16,0,1,0,7,6
2022-08-02 16:05:00,11,8,2,16,5,1,0,7,6
2022-08-02 16:10:00,10,8,2,16,10,1,0,9,6
2022-08-02 16:15:00,11,8,2,16,15,1,0,8,6
2022-08-02 16:20:00,11,8,2,16,20,1,0,8,6
2022-08-02 16:25:00,10,8,2,16,25,1,0,8,5
2022-08-02 16:30:00,10,8,2,16,30,1,0,9,5
2022-08-02 16:35:00,12,8,2,16,35,1,0,10,7
2022-08-02 16:40:00,12,8,2,16,40,1,0,10,9
2022-08-02 16:45:00,13,8,2,16,45,1,0,13,10
2022-08-02 16:50:00,14,8,2,16,50,1,0,13,10
2022-08-02 16:55:00,15,8,2,16,55,1,0,0,0
2022-08-02 17:00:00,15,8,2,17,0,1,0,16,7
2022-08-02 17:05:00,14,8,2,17,5,1,0,19,7
2022-08-02 17:10:00,15,8,2,17,10,1,0,19,9
2022-08-02 17:15:00,15,8,2,17,15,1,0,19,8
2022-08-02 17:20:00,15,8,2,17,20,1,0,19,8
2022-08-02 17:25:00,17,8,2,17,25,1,0,18,8
2022-08-02 17:35:00,18,8,2,17,35,1,0,19,10
2022-08-02 17:41:00,18,8,2,17,41,1,0,19,10
2022-08-02 17:45:00,18,8,2,17,45,1,0,18,13
2022-08-02 17:50:00,18,8,2,17,50,1,0,17,13
2022-08-02 17:55:00,18,8,2,17,55,1,0,0,0
2022-08-02 18:00:00,18,8,2,18,0,1,0,14,16
2022-08-02 18:05:00,18,8,2,18,5,1,0,14,19
2022-08-02 18:10:00,18,8,2,18,10,1,0,14,19
2022-08-02 18:15:00,16,8,2,18,15,1,0,14,19
2022-08-02 18:20:00,16,8,2,18,20,1,0,15,19
2022-08-02 18:25:00,16,8,2,18,25,1,0,14,18
2022-08-02 18:30:00,13,8,2,18,30,1,0,14,19
2022-08-02 18:35:00,13,8,2,18,35,1,0,15,19
2022-08-02 18:40:00,11,8,2,18,40,1,0,15,19
2022-08-02 18:45:00,13,8,2,18,45,1,0,15,18
2022-08-02 18:50:00,12,8,2,18,50,1,0,14,17
2022-08-02 18:55:00,13,8,2,18,55,1,0,0,0
2022-08-02 19:00:00,14,8,2,19,0,1,0,14,14
2022-08-02 19:05:00,15,8,2,19,5,1,0,14,14
2022-08-02 19:20:00,11,8,2,19,20,1,0,14,15
2022-08-02 19:25:00,11,8,2,19,25,1,0,15,14
2022-08-02 19:30:00,12,8,2,19,30,1,0,15,14
2022-08-02 19:35:00,12,8,2,19,35,1,0,15,15
2022-08-02 19:41:00,13,8,2,19,41,1,0,15,15
2022-08-02 19:45:00,13,8,2,19,45,1,0,15,15
2022-08-02 19:50:00,13,8,2,19,50,1,0,15,14
2022-08-02 19:55:00,13,8,2,19,55,1,0,0,0
2022-08-02 20:01:00,10,8,2,20,1,1,0,14,14
2022-08-02 20:05:00,10,8,2,20,5,1,0,14,14
2022-08-02 20:10:00,10,8,2,20,10,1,0,14,15
2022-08-02 20:15:00,10,8,2,20,15,1,0,14,14
2022-08-02 20:20:00,11,8,2,20,20,1,0,14,14
2022-08-02 20:25:00,11,8,2,20,25,1,0,12,15
2022-08-02 20:30:00,11,8,2,20,30,1,0,12,15
2022-08-02 20:35:00,11,8,2,20,35,1,0,12,15
2022-08-02 20:40:00,13,8,2,20,40,1,0,12,15
2022-08-02 20:45:00,13,8,2,20,45,1,0,14,15
2022-08-02 20:50:00,11,8,2,20,50,1,0,14,15
2022-08-02 20:55:00,11,8,2,20,55,1,0,0,0
2022-08-02 21:00:00,11,8,2,21,0,1,0,13,14
2022-08-02 21:05:00,13,8,2,21,5,1,0,13,14
2022-08-02 21:10:00,13,8,2,21,10,1,0,13,14
2022-08-02 21:15:00,15,8,2,21,15,1,0,14,14
2022-08-02 21:21:00,15,8,2,21,21,1,0,15,14
2022-08-02 21:25:00,15,8,2,21,25,1,0,15,12
2022-08-02 21:31:00,15,8,2,21,31,1,0,15,12
2022-08-02 21:40:00,15,8,2,21,40,1,0,15,12
2022-08-02 21:45:00,14,8,2,21,45,1,0,15,14
2022-08-02 21:51:00,14,8,2,21,51,1,0,14,14
2022-08-02 21:55:00,15,8,2,21,55,1,0,0,0
2022-08-02 22:01:00,15,8,2,22,1,1,0,14,13
2022-08-02 22:05:00,15,8,2,22,5,1,0,14,13
2022-08-02 22:11:00,15,8,2,22,11,1,0,13,13
2022-08-02 22:15:00,15,8,2,22,15,1,0,13,14
2022-08-02 22:21:00,16,8,2,22,21,1,0,13,15
2022-08-02 22:25:00,16,8,2,22,25,1,0,12,15
2022-08-02 22:31:00,16,8,2,22,31,1,0,12,15
2022-08-02 22:35:00,16,8,2,22,35,1,0,12,15
2022-08-02 22:41:00,16,8,2,22,41,1,0,12,15
2022-08-02 22:45:00,16,8,2,22,45,1,0,12,15
2022-08-02 22:51:00,14,8,2,22,51,1,0,12,14
2022-08-02 22:55:00,14,8,2,22,55,1,0,0,0
2022-08-02 23:01:00,14,8,2,23,1,1,0,12,14
2022-08-02 23:05:00,14,8,2,23,5,1,0,15,14
2022-08-02 23:11:00,14,8,2,23,11,1,0,15,13
2022-08-02 23:15:00,14,8,2,23,15,1,0,15,13
2022-08-02 23:25:00,14,8,2,23,25,1,0,13,12
2022-08-03 00:30:00,7,8,3,0,30,2,0,0,13
2022-08-03 00:34:00,7,8,3,0,34,2,0,0,12
2022-08-03 00:38:00,7,8,3,0,38,2,0,0,12
2022-08-03 00:42:00,7,8,3,0,42,2,0,0,13
2022-08-03 00:45:00,7,8,3,0,45,2,0,0,13
2022-08-03 00:49:00,5,8,3,0,49,2,0,0,13
2022-08-03 00:52:00,5,8,3,0,52,2,0,0,0
2022-08-03 00:55:00,5,8,3,0,55,2,0,0,0
2022-08-03 00:59:00,5,8,3,0,59,2,0,0,0
2022-08-03 01:02:00,5,8,3,1,2,2,0,8,12
2022-08-03 01:07:00,5,8,3,1,7,2,0,8,12
2022-08-03 01:12:00,5,8,3,1,12,2,0,8,12
2022-08-03 01:19:00,5,8,3,1,19,2,0,8,12
2022-08-03 01:24:00,5,8,3,1,24,2,0,8,0
2022-08-03 01:30:00,5,8,3,1,30,2,0,8,0
2022-08-03 01:34:00,6,8,3,1,34,2,0,8,0
2022-08-03 01:39:00,6,8,3,1,39,2,0,8,0
2022-08-03 01:45:00,6,8,3,1,45,2,0,8,0
2022-08-03 01:50:00,6,8,3,1,50,2,0,8,0
2022-08-03 01:54:00,6,8,3,1,54,2,0,8,0
2022-08-03 02:00:00,6,8,3,2,0,2,0,7,8
2022-08-03 02:04:00,6,8,3,2,4,2,0,7,8
2022-08-03 02:09:00,5,8,3,2,9,2,0,7,8
2022-08-03 02:14:00,5,8,3,2,14,2,0,7,8
2022-08-03 02:20:00,5,8,3,2,20,2,0,7,8
2022-08-03 02:24:00,5,8,3,2,24,2,0,7,8
2022-08-03 02:30:00,5,8,3,2,30,2,0,7,8
2022-08-03 02:35:00,5,8,3,2,35,2,0,7,8
2022-08-03 02:39:00,5,8,3,2,39,2,0,7,8
2022-08-03 02:45:00,5,8,3,2,45,2,0,7,8
2022-08-03 02:49:00,5,8,3,2,49,2,0,7,8
2022-08-03 02:54:00,5,8,3,2,54,2,0,0,8
2022-08-03 03:00:00,5,8,3,3,0,2,0,7,7
2022-08-03 03:05:00,5,8,3,3,5,2,0,7,7
2022-08-03 03:10:00,5,8,3,3,10,2,0,7,7
2022-08-03 03:15:00,5,8,3,3,15,2,0,6,7
2022-08-03 03:20:00,5,8,3,3,20,2,0,6,7
2022-08-03 03:25:00,5,8,3,3,25,2,0,6,7
2022-08-03 03:30:00,5,8,3,3,30,2,0,6,7
2022-08-03 03:35:00,5,8,3,3,35,2,0,6,7
2022-08-03 03:39:00,5,8,3,3,39,2,0,6,7
2022-08-03 03:45:00,4,8,3,3,45,2,0,6,7
2022-08-03 03:50:00,2,8,3,3,50,2,0,6,7
2022-08-03 03:55:00,1,8,3,3,55,2,0,0,0
2022-08-03 03:59:00,1,8,3,3,59,2,0,0,0
2022-08-03 04:05:00,1,8,3,4,5,2,0,7,7
2022-08-03 04:10:00,1,8,3,4,10,2,0,7,7
2022-08-03 04:15:00,1,8,3,4,15,2,0,7,6
2022-08-03 04:20:00,1,8,3,4,20,2,0,7,6
2022-08-03 04:25:00,1,8,3,4,25,2,0,7,6
2022-08-03 04:30:00,1,8,3,4,30,2,0,7,6
2022-08-03 04:35:00,1,8,3,4,35,2,0,7,6
2022-08-03 04:40:00,1,8,3,4,40,2,0,7,6
2022-08-03 04:45:00,1,8,3,4,45,2,0,7,6
